**Item**,**Dataset**,**Completed**,**Varied from original**
"[Day 1: Learn about different types of regression (Poisson, linear and logistic) and when to use them](https://www.kaggle.com/rtatman/regression-challenge-day-1)",,,
[Day 2: Learn how to fit &amp; evaluate a model with diagnostic plots](https://www.kaggle.com/rtatman/regression-challenge-day-2),,,
[Day 3: Learn how to read and understand models](https://www.kaggle.com/rtatman/regression-challenge-day-3),,,
[Day 4: Learn how to fit &amp; interpret a multiple regression model](https://www.kaggle.com/rtatman/regression-challenge-day-4),,,
[Day 5: Learn how to use Elastic Net to select input variables](https://www.kaggle.com/rtatman/regression-challenge-day-5),,,
